,flops,params,tokens,benchmark,metric_type,score,tpr
207,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-electrical_engineering,acc,0.27586206896551724,20.0
208,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-electrical_engineering,acc_norm,0.27586206896551724,20.0
209,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-electrical_engineering,acc_norm_stderr,0.03724563619774632,20.0
210,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-electrical_engineering,acc_stderr,0.03724563619774632,20.0
212,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-elementary_mathematics,acc,0.23015873015873017,20.0
213,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-elementary_mathematics,acc_norm,0.23015873015873017,20.0
214,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-elementary_mathematics,acc_norm_stderr,0.02167921966369314,20.0
215,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-elementary_mathematics,acc_stderr,0.02167921966369314,20.0
217,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-formal_logic,acc,0.3412698412698413,20.0
218,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-formal_logic,acc_norm,0.3412698412698413,20.0
219,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-formal_logic,acc_norm_stderr,0.04240799327574924,20.0
220,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-formal_logic,acc_stderr,0.04240799327574924,20.0
222,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-global_facts,acc,0.23,20.0
223,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-global_facts,acc_norm,0.23,20.0
224,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-global_facts,acc_norm_stderr,0.04229525846816506,20.0
225,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-global_facts,acc_stderr,0.04229525846816506,20.0
227,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_biology,acc,0.2032258064516129,20.0
228,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_biology,acc_norm,0.2032258064516129,20.0
229,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_biology,acc_norm_stderr,0.022891687984554963,20.0
230,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_biology,acc_stderr,0.022891687984554963,20.0
232,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_chemistry,acc,0.19704433497536947,20.0
233,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_chemistry,acc_norm,0.19704433497536947,20.0
234,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_chemistry,acc_norm_stderr,0.02798672466673622,20.0
235,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_chemistry,acc_stderr,0.02798672466673622,20.0
237,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_computer_science,acc,0.27,20.0
238,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_computer_science,acc_norm,0.27,20.0
239,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_computer_science,acc_norm_stderr,0.044619604333847394,20.0
240,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_computer_science,acc_stderr,0.044619604333847394,20.0
242,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_european_history,acc,0.21212121212121213,20.0
243,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_european_history,acc_norm,0.21212121212121213,20.0
244,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_european_history,acc_norm_stderr,0.031922715695483,20.0
245,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_european_history,acc_stderr,0.031922715695483,20.0
247,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_geography,acc,0.19696969696969696,20.0
248,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_geography,acc_norm,0.19696969696969696,20.0
249,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_geography,acc_norm_stderr,0.02833560973246335,20.0
250,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_geography,acc_stderr,0.02833560973246335,20.0
252,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_government_and_politics,acc,0.19170984455958548,20.0
253,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_government_and_politics,acc_norm,0.19170984455958548,20.0
254,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_government_and_politics,acc_norm_stderr,0.02840895362624527,20.0
255,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_government_and_politics,acc_stderr,0.02840895362624527,20.0
257,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_macroeconomics,acc,0.23333333333333336,20.0
258,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_macroeconomics,acc_norm,0.23333333333333336,20.0
259,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_macroeconomics,acc_norm_stderr,0.021444547301560476,20.0
260,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_macroeconomics,acc_stderr,0.021444547301560476,20.0
262,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_mathematics,acc,0.22592592592592592,20.0
263,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_mathematics,acc_norm,0.22592592592592592,20.0
264,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_mathematics,acc_norm_stderr,0.025497532639609546,20.0
265,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_mathematics,acc_stderr,0.025497532639609546,20.0
267,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_microeconomics,acc,0.21008403361344535,20.0
268,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_microeconomics,acc_norm,0.21008403361344535,20.0
269,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_microeconomics,acc_norm_stderr,0.02646139871747187,20.0
270,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_microeconomics,acc_stderr,0.02646139871747187,20.0
272,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_physics,acc,0.2119205298013245,20.0
273,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_physics,acc_norm,0.2119205298013245,20.0
274,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_physics,acc_norm_stderr,0.03336767086567978,20.0
275,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_physics,acc_stderr,0.03336767086567978,20.0
277,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_psychology,acc,0.2220183486238532,20.0
278,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_psychology,acc_norm,0.2220183486238532,20.0
279,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_psychology,acc_norm_stderr,0.017818849564796638,20.0
280,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_psychology,acc_stderr,0.017818849564796638,20.0
282,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_statistics,acc,0.14814814814814814,20.0
283,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_statistics,acc_norm,0.14814814814814814,20.0
284,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_statistics,acc_norm_stderr,0.024227629273728353,20.0
285,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_statistics,acc_stderr,0.024227629273728353,20.0
287,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_us_history,acc,0.25,20.0
288,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_us_history,acc_norm,0.25,20.0
289,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_us_history,acc_norm_stderr,0.03039153369274154,20.0
290,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_us_history,acc_stderr,0.03039153369274154,20.0
292,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_world_history,acc,0.2742616033755274,20.0
293,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_world_history,acc_norm,0.2742616033755274,20.0
294,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_world_history,acc_norm_stderr,0.02904133351059805,20.0
295,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-high_school_world_history,acc_stderr,0.02904133351059805,20.0
297,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-human_aging,acc,0.3094170403587444,20.0
298,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-human_aging,acc_norm,0.3094170403587444,20.0
299,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-human_aging,acc_norm_stderr,0.03102441174057221,20.0
300,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-human_aging,acc_stderr,0.03102441174057221,20.0
